id,name,description,weight,picture,quantity,stylename,type,rules,redeemable
1,Like-General,"Like [quantity] object(s) ",1,like-general,1,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 1) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1 ) as b""}",0
2,Like-General,"Like [quantity] object(s) ",1,like-general,5,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 5) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id&& l.likes=1 ) as b""}",0
3,Like-General,"Like [quantity] object(s)",1,like-general,10,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 10) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id&& l.likes=1 ) as b""}",0
4,Like-General,"Like [quantity] object(s)",1,like-general,25,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 25) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id&& l.likes=1 ) as b""}",0
5,Like-General,"Like [quantity] object(s)",1,like-general,50,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 50) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as b""}",0
6,Like-General,"Like [quantity] object(s)",1,like-general,75,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 75) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as b""}",0
7,Like-General,"Like [quantity] object(s)",1,like-general,100,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 100) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as b""}",0
8,Like-General,"Like [quantity] object(s)",1,like-general,250,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 250) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as b""}",0
9,Like-General,"Like [quantity] object(s)",1,like-general,500,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 500) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as b""}",0
10,Like-General,"Like [quantity] object(s)",1,like-general,1000,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 1000) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as b""}",0
