id,name,description,weight,picture,quantity,stylename,type,rules
1,Like-General,"Like [quantity] object(s) ",1,/img/badges/generic.png,1,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 1) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1 ) as b""}"
2,Like-General,"Like [quantity] object(s) ",1,/img/badges/generic.png,5,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 5) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id&& l.likes=1 ) as b""}"
3,Like-General,"Like [quantity] object(s)",1,/img/badges/generic.png,10,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 10) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id&& l.likes=1 ) as b""}"
4,Like-General,"Like [quantity] object(s)",1,/img/badges/generic.png,25,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 25) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id&& l.likes=1 ) as b""}"
5,Like-General,"Like [quantity] object(s)",1,/img/badges/generic.png,50,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 50) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as b""}"
6,Like-General,"Like [quantity] object(s)",1,/img/badges/generic.png,75,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 75) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as b""}"
7,Like-General,"Like [quantity] object(s)",1,/img/badges/generic.png,100,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 100) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as b""}"
8,Like-General,"Like [quantity] object(s)",1,/img/badges/generic.png,250,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 250) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as b""}"
9,Like-General,"Like [quantity] object(s)",1,/img/badges/generic.png,500,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 500) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as b""}"
10,Like-General,"Like [quantity] object(s)",1,/img/badges/generic.png,1000,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 1000) then 1 else 0 end ) as flag from (select count(*) as a from posts p , likes l where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id &&l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id && l.likes=1) as b""}"
11,Like-General-10sec,"Like [quantity] object(s) within 10 seconds of Posting Time",1,/img/badges/generic.png,1,NULL,default,"{""sql"":""select (case when ((a.a + b.b) >= 1) then 1 else 0 end ) as flag from  (select count(*) as a from posts p , likes l   where l.facebook_user_id != p.facebook_user_id && l.post_id = p.post_id && l.fanpage_id = p.fanpage_id && l.facebook_user_id = :facebook_user_id &&  l.fanpage_id = :fanpage_id &&(l.created_time - interval 10 second) < p.created_time  && l.likes=1 ) as a,  ( select count(*) as b from likes l , comments c where l.facebook_user_id != c.facebook_user_id && l.post_id = c.comment_id && l.fanpage_id = c.fanpage_id && l.facebook_user_id = :facebook_user_id && l.fanpage_id = :fanpage_id &&(l.created_time - interval 10 second) < c.created_time  && l.likes=1 ) as b""}"
